Date,prices,prices_delta,log_returns,daily_vol,daily_vol_dollar,price_dev,annual_vol
2012-09-07,77.139999,8.540001000000004,0.11732943423931808,0.052014676630056655,4.012412103227894,8.63960962916587,0.8257073933314387
2012-09-10,76.660004,-0.4799950000000024,-0.006241827685780521,0.05752199850391376,4.409636635398023,-0.11962754264793922,0.9131334177407116
2012-09-11,76.489998,-0.17000600000000077,-0.0022201249442925786,0.05748501746174483,4.397028870678827,-0.038553290000198776,0.9125463618958937
2012-09-12,76.900002,0.4100040000000007,0.00534591533283546,0.05937869793966306,4.5662219903174845,0.09324569204766285,0.9426076075390311
2012-09-13,77.160004,0.26000200000000007,0.0033753373584577417,0.005286595360785751,0.40791371918461,0.056940289051063506,0.0839220996412013
2012-09-14,77.989998,0.8299939999999992,0.010699347820234628,0.005335810517659603,0.4161398516006514,2.034729309078148,0.08470336603614077
2012-09-17,77.400002,-0.5899959999999993,-0.007593781262619004,0.007684288240418627,0.5947639251769782,-1.4177829826454327,0.1219842941201148
2012-09-18,75.010002,-2.3900000000000006,-0.03136534179081796,0.01837126663656754,1.3780287471514643,-4.018401081216941,0.2916348167376944
2012-09-19,76.019997,1.0099950000000035,0.013374959453146928,0.020651281868764318,1.569910385709618,0.7329273805700885,0.32782893647668565
2012-09-20,75.480003,-0.5399940000000072,-0.007128663851826644,0.01829048293719076,1.3805657069706072,-0.3439648561570115,0.2903524152664619
2012-09-21,74.980003,-0.5,-0.006646308927541256,0.01830670214496048,1.372636581749243,-0.36217037514075034,0.29060988720778885
2012-09-24,74.220001,-0.7600020000000001,-0.010187782212526031,0.010795776394239436,0.8012625347762273,-0.55368042066275,0.1713776372941149
2012-09-25,72.980003,-1.239998,-0.016848196990455477,0.004699661990870245,0.34298134619269643,-1.5475551971817831,0.07460482124343225
2012-09-26,73.699997,0.7199939999999998,0.009817286374273593,0.011340496831376962,0.8357945824509916,2.0992220363946186,0.1800248061584366
2012-09-27,74.260002,0.5600050000000039,0.007569717191605818,0.01314098798471266,0.9758497940267381,0.6700270757412343,0.20860671713542533
2012-09-28,73.940002,-0.3199999999999932,-0.0043184951238890434,0.012283041977984348,0.9082081484182467,-0.32791931909884203,0.19498724650268096
2012-10-01,73.57,-0.3700020000000137,-0.0050166466132708365,0.007773625361131437,0.5719056178184398,-0.40739779822986233,0.12340247694563072
2012-10-02,76.349998,2.779998000000006,0.037090671525314534,0.01970504510179975,1.5044801541123207,4.860938437017695,0.3128078934760415
2012-10-03,75.019997,-1.3300009999999958,-0.01757330080508357,0.023821807320158636,1.787111913692879,-0.8840269486869557,0.37815946769542663
2012-10-04,76.449997,1.4299999999999926,0.018882188469332206,0.024410638985214683,1.8661932771877454,0.8001737266946242,0.38750688059433697
2012-10-05,75.400002,-1.0499949999999956,-0.013829591594626933,0.026340163461567093,1.9860483776824858,-0.5626400077821964,0.4181371320725806
2012-10-08,75.400002,0.0,0.0,0.016506802027481993,1.2446129058857465,0.0,0.2620373586341648
2012-10-09,72.790001,-2.610000999999997,-0.03522870467079198,0.022812327861759064,1.6605093678697702,-2.0970383543809974,0.362134478092106
2012-10-10,72.980003,0.19000199999999268,0.002606875247136209,0.01731744213556319,1.2638269790057282,0.11442392537883839,0.274905871406709
2012-10-11,72.699997,-0.2800060000000002,-0.003844128841455685,0.017608645886206965,1.2801485031013087,-0.22155406131643524,0.27952858763702515
2012-10-12,73.43,0.7300030000000106,0.009991228189520918,0.01989331181977958,1.4607658869264148,0.5702486846108037,0.31579653497159127
2012-10-15,73.940002,0.5100020000000001,0.006921409093925135,0.005996506100334475,0.4433816730517433,0.3491332899846744,0.09519158326060051
2012-10-16,75.519997,1.5799949999999967,0.021143501555224375,0.010278458414464745,0.7762291486250023,3.5635099419538006,0.16316546895475784
2012-10-17,75.349998,-0.16999900000000423,-0.00225358358296468,0.009650580308151671,0.7271712069180678,-0.21900620493463466,0.15319821301695843
2012-10-18,74.650002,-0.6999959999999987,-0.009333347752810361,0.013156273922081609,0.98211587459594,-0.9626288738339293,0.2088493738684338
2012-10-19,69.029999,-5.620002999999997,-0.07826937254796462,0.04275889792526127,2.9516466810218875,-5.722342083424898,0.678776461472622
2012-10-22,68.279999,-0.75,-0.010924294948265967,0.035582967101197266,2.4296049580867822,-0.2540954528271463,0.5648620911573652
2012-10-23,68.849998,0.5699989999999957,0.008313312845344534,0.03815332848984722,2.626856590219324,0.2346056292414086,0.6056653132409476
2012-10-24,69.25,0.40000200000000063,0.005792948941440557,0.04057328638002994,2.8097000818170734,0.15227401506779753,0.6440809538049799
2012-10-25,67.690002,-1.5599979999999931,-0.02278465700046972,0.014663831664474136,0.9925947946959177,-0.555218690455787,0.23278111110907743
2012-10-26,67.489998,-0.20000400000000695,-0.00295907894568348,0.014103291217963384,0.9518310960937664,-0.20149612013760193,0.22388280738151412
2012-10-31,68.839996,1.3499979999999994,0.019805504116289896,0.01782982255281796,1.2274049132166982,1.418316763909349,0.28303965837100276
2012-11-01,71.019997,2.1800010000000043,0.03117657203573465,0.02403393382940555,1.7068899084625808,1.7761058119661652,0.38152687163513616
2012-11-02,69.989998,-1.0299990000000037,-0.014609139147381711,0.020875011013474106,1.4610419790830307,-0.6034361061562183,0.3313805265443213
2012-11-05,70.839996,0.8499979999999994,0.012071410323420295,0.019465086985105347,1.3789066841645148,0.5817752071254444,0.30899867646497264
2012-11-06,71.589996,0.75,0.010531587085009342,0.01878348753421154,1.344709797440254,0.5439091771858573,0.2981786206200335
2012-11-07,70.760002,-0.8299939999999992,-0.011661445978226936,0.014173763823115457,1.0029355564711773,-0.6172290865880125,0.22500152530636552
2012-11-08,68.410004,-2.3499979999999994,-0.033774826312251705,0.021625770722231513,1.4794190616109406,-2.343119639978119,0.3432984674467576
2012-11-09,67.730003,-0.6800010000000043,-0.009989813723558782,0.01810671984802216,1.2263681896267005,-0.45964055597576975,0.2874352666619033
2012-11-12,69.230003,1.5,0.02190508050341844,0.022916098360525036,1.5864815582474432,1.2231237019092867,0.3637817836910654
2012-11-13,69.800003,0.5700000000000074,0.008199714724520746,0.02408979939057987,1.6814680697318731,0.359285613524355,0.382413709925458
2012-11-14,65.91999799999999,-3.8800050000000113,-0.057192197486858554,0.03451633293953823,2.275316598341694,-2.307510365402726,0.5479297987675511
2012-11-15,65.870003,-0.04999499999999557,-0.0007587070645556082,0.03475984039135135,2.289630790857834,-0.021972766355430773,0.5517953597268824
2012-11-16,68.019997,2.1499940000000066,0.032118587277518706,0.03782695199583969,2.57298916127616,0.939013402765469,0.6004842470194213
2012-11-19,71.230003,3.210005999999993,0.0461123846329734,0.04592261052396125,3.2710676853895913,1.2475785161908273,0.7289988420076743
2012-11-20,71.879997,0.6499940000000066,0.009083900071783724,0.021354594516176308,1.5349681897589695,0.19871004287170257,0.3389936786305571
2012-11-21,69.980003,-1.8999940000000066,-0.02678849037019848,0.031844598727301325,2.2284851144703426,-1.237806758912936,0.5055173329984997
2012-11-23,70.66999799999999,0.6899949999999961,0.009811596593278793,0.029763397209509785,2.103379221269262,0.3096251330195631,0.47247928313278015
2012-11-26,70.690002,0.020004000000014344,0.000283022073196193,0.017146526071596186,1.2120879622941867,0.009510410580144051,0.2721926630047728
